Date,week_num,A,B,C,D
10/06/2014,493,0,0,0,0
17/06/2014,494,0,0,0,0
24/06/2014,495,0,0,0,0
01/07/2014,496,0,0,0,0
08/07/2014,497,0,0,0,0
15/07/2014,498,0,0,0,0
22/07/2014,499,0,0,0,0
29/07/2014,500,0,0,0,0
05/08/2014,501,0,0,0,0
12/08/2014,502,0,0,0,0
19/08/2014,503,0,0,0,0
26/08/2014,504,0,0,0,0
02/09/2014,505,0,0,0,0
09/09/2014,506,0,0,0,0
16/09/2014,507,0,0,0,0
23/09/2014,508,0,0,0,0
30/09/2014,509,0,0,0,0
07/10/2014,510,0,0,0,0
14/10/2014,511,0,0,0,0
21/10/2014,512,0,0,0,0
28/10/2014,513,0,0,0,0
04/11/2014,514,0,0,0,0
11/11/2014,515,0,0,0,0
18/11/2014,516,0,0,0,0
25/11/2014,517,0,0,0,0
02/12/2014,518,0,0,0,0
09/12/2014,519,0,0,0,0
16/12/2014,520,0,0,0,0
23/12/2014,521,0,0,0,0
30/12/2014,522,0,0,0,0
06/01/2015,523,0,0,0,0
13/01/2015,524,0,0,0,0
20/01/2015,525,0,0,0,0
27/01/2015,526,0,0,0,0
03/02/2015,527,0,0,0,0
10/02/2015,528,0,0,0,0
17/02/2015,529,0,0,0,0
24/02/2015,530,0,0,0,0
03/03/2015,531,0,0,0,0
10/03/2015,532,0,0,0,0
17/03/2015,533,0,0,0,0
24/03/2015,534,0,0,0,0
31/03/2015,535,0,0,0,0
07/04/2015,536,0,0,0,0
14/04/2015,537,0,0,0,0
21/04/2015,538,0,0,0,0
28/04/2015,539,0,0,0,0
05/05/2015,540,0,0,0,0
12/05/2015,541,0,0,0,0
19/05/2015,542,0,0,0,0
26/05/2015,543,0,0,0,0
02/06/2015,544,0,0,0,0
09/06/2015,545,0,0,0,0
16/06/2015,546,0,0,0,0
23/06/2015,547,0,0,0,0
30/06/2015,548,0,0,0,0
07/07/2015,549,0,0,0,0
14/07/2015,550,0,0,0,0
21/07/2015,551,0,0,0,0
28/07/2015,552,0,0,0,0
04/08/2015,553,0,0,0,0
11/08/2015,554,0,0,0,0
18/08/2015,555,0,0,0,0
