label,ID,Source,Year,date,ESR number,Clades,Clades_B,tetA,other_AMR_genes,IncF,mobilisable_plasmids,other_conjugative,line
SBV133_plate02|2017.31780821918,SBV133,Bovine,2017,27/04/2017,17ER1490,C,H,0,0,1,1,0,1
SBV134_plate02|2017.33698630137,SBV134,Bovine,2017,4/05/2017,17ER1591,C,H,0,0,1,1,0,1
SBV135_plate02|2017.33698630137,SBV135,Feline,2017,4/05/2017,17ER1651,B,E,0,0,1,1,0,1
SBV136_plate02|2017.37534246575,SBV136,Equine,2017,18/05/2017,17ER1827,C,H,0,0,1,1,1,1
SBV137_plate03|2017.41095890411,SBV137,Bovine,2017,31/05/2017,17ER1920,C,H,0,0,1,1,0,1
SBV138_plate02|2017.43561643836,SBV138,Bovine,2017,9/06/2017,17ER2028,C,H,0,0,1,1,0,1
SBV139_plate02|2017.44657534247,SBV139,Bovine,2017,13/06/2017,17ER2059,C,H,1,1,1,1,1,1
SBV140_plate02|2017.48767123288,SBV140,Bovine,2017,28/06/2017,17ER2209,C,H,0,0,1,1,0,1
SBV141_plate02|2017.52876712329,SBV141,Bovine,2017,13/07/2017,17ER2357,C,H,0,0,1,1,0,1
SBV142_plate02|2017.56712328767,SBV142,Bovine,2017,27/07/2017,17ER2544,C,H,0,0,1,1,0,1
SBV143_plate02|2017.57808219178,SBV143,Bovine,2017,31/07/2017,17ER2613,C,H,0,0,1,1,0,1
SBV144_plate02|2017.6,SBV144,Bovine,2017,8/08/2017,17ER2712,C,H,0,0,1,1,0,1
SBV145_plate02|2017.61095890411,SBV145,Canine,2017,12/08/2017,17ER2806,C,H,0,0,1,1,0,1
SBV146_plate02|2017.64109589041,SBV146,Bovine,2017,23/08/2017,17ER2961,C,H,0,0,1,1,0,1
SBV147_plate02|2017.67397260274,SBV147,Bovine,2017,4/09/2017,17ER3241,B,D,0,0,1,1,0,1
SBV148_plate02|2017.6904109589,SBV148,Bovine,2017,10/09/2017,17ER3376,C,H,0,0,1,1,0,1
SBV149_plate03|2017.71780821918,SBV149,Bovine,2017,20/09/2017,17ER3602,B,D,0,0,1,1,0,1
SBV150_plate02|2017.75068493151,SBV150,Bovine,2017,2/10/2017,17ER3752,C,H,0,0,1,1,0,1
SBV151_plate02|2017.79726027397,SBV151,Bovine,2017,19/10/2017,17ER3994,B,D,0,0,1,1,0,1
SBV152_plate02|2017.83835616438,SBV152,Bovine,2017,3/11/2017,17ER4222,C,H,0,0,1,1,0,1
SBV153_plate02|2017.89589041096,SBV153,Bovine,2017,24/11/2017,17ER4419,C,H,0,0,1,0,0,1
SBV154_plate03|2018.02465753425,SBV154,Human,2018,10/01/2018,18ER0252,B,D,0,0,1,1,0,1
SBV155_plate03|2018.00821917808,SBV155,Human,2018,4/01/2018,18ER0137,B,E,0,0,1,1,0,1
SBV156_plate02|2018.04109589041,SBV156,Human,2018,16/01/2018,18ER0396,C,H,0,0,1,1,0,1
SBV157_plate02|2018.04109589041,SBV157,Human,2018,16/01/2018,18ER0457,C,H,0,0,1,1,0,1
SBV158_plate02|2018.0602739726,SBV158,Human,2018,23/01/2018,18ER0601,C,H,0,0,1,1,0,1
SBV159_plate02|2018.07945205479,SBV159,Human,2018,30/01/2018,18ER0674,C,H,0,0,1,1,1,1
SBV160_plate02|2018.09315068493,SBV160,Human,2018,4/02/2018,18ER0729,C,H,0,0,1,1,0,1
