Isolate,Isolate,level 1,level 2,Isolate,cluster_A,cluster_B,,,,,,,,Isolate
SBV141_plate02|2017.52876712329,SBV141,3,8,SBV141_plate02|2017.52876712329,C,H,,,,,,,,SBV141
SBV142_plate02|2017.56712328767,SBV142,3,8,SBV142_plate02|2017.56712328767,C,H,,,,,,,,SBV142
SBV143_plate02|2017.57808219178,SBV143,3,8,SBV143_plate02|2017.57808219178,C,H,,,,,,,,SBV143
SBV144_plate02|2017.6,SBV144,3,8,SBV144_plate02|2017.6,C,H,,,,,,,,SBV144
SBV145_plate02|2017.61095890411,SBV145,3,8,SBV145_plate02|2017.61095890411,C,H,,,,,,,,SBV145
SBV146_plate02|2017.64109589041,SBV146,3,8,SBV146_plate02|2017.64109589041,C,H,,,,,,,,SBV146
SBV147_plate02|2017.67397260274,SBV147,2,4,SBV147_plate02|2017.67397260274,B,D,,,,,,,,SBV147
SBV148_plate02|2017.6904109589,SBV148,3,8,SBV148_plate02|2017.6904109589,C,H,,,,,,,,SBV148
SBV149_plate03|2017.71780821918,SBV149,2,4,SBV149_plate03|2017.71780821918,B,D,,,,,,,,SBV149
SBV150_plate02|2017.75068493151,SBV150,3,8,SBV150_plate02|2017.75068493151,C,H,,,,,,,,SBV150
SBV151_plate02|2017.79726027397,SBV151,2,4,SBV151_plate02|2017.79726027397,B,D,,,,,,,,SBV151
SBV152_plate02|2017.83835616438,SBV152,3,8,SBV152_plate02|2017.83835616438,C,H,,,,,,,,SBV152
SBV153_plate02|2017.89589041096,SBV153,3,8,SBV153_plate02|2017.89589041096,C,H,,,,,,,,SBV153
SBV154_plate03|2018.02465753425,SBV154,2,4,SBV154_plate03|2018.02465753425,B,D,,,,,,,,SBV154
SBV155_plate03|2018.00821917808,SBV155,2,5,SBV155_plate03|2018.00821917808,B,E,,,,,,,,SBV155
SBV156_plate02|2018.04109589041,SBV156,3,8,SBV156_plate02|2018.04109589041,C,H,,,,,,,,SBV156
SBV157_plate02|2018.04109589041,SBV157,3,8,SBV157_plate02|2018.04109589041,C,H,,,,,,,,SBV157
SBV158_plate02|2018.0602739726,SBV158,3,8,SBV158_plate02|2018.0602739726,C,H,,,,,,,,SBV158
SBV159_plate02|2018.07945205479,SBV159,3,8,SBV159_plate02|2018.07945205479,C,H,,,,,,,,SBV159
SBV160_plate02|2018.09315068493,SBV160,3,8,SBV160_plate02|2018.09315068493,C,H,,,,,,,,SBV160
SBV161_plate02|2018.13424657534,SBV161,2,4,SBV161_plate02|2018.13424657534,B,D,,,,,,,,SBV161
SBV162_plate02|2018.1095890411,SBV162,3,8,SBV162_plate02|2018.1095890411,C,H,,,,,,,,SBV162
SBV163_plate02|2018.18356164384,SBV163,3,8,SBV163_plate02|2018.18356164384,C,H,,,,,,,,SBV163
SBV164_plate02|2018.19452054795,SBV164,3,8,SBV164_plate02|2018.19452054795,C,H,,,,,,,,SBV164
SBV165_plate02|2018.33150684932,SBV165,2,4,SBV165_plate02|2018.33150684932,B,D,,,,,,,,SBV165
SBV166_plate02|2018.34246575342,SBV166,3,8,SBV166_plate02|2018.34246575342,C,H,,,,,,,,SBV166
SBV167_plate02|2018.63561643836,SBV167,3,8,SBV167_plate02|2018.63561643836,C,H,,,,,,,,SBV167
SBV168_plate02|2018.62191780822,SBV168,3,8,SBV168_plate02|2018.62191780822,C,H,,,,,,,,SBV168
SBV169_plate02|2018.68219178082,SBV169,3,8,SBV169_plate02|2018.68219178082,C,H,,,,,,,,SBV169
SBV170_plate02|2018.77808219178,SBV170,2,4,SBV170_plate02|2018.77808219178,B,D,,,,,,,,SBV170
SBV171_plate02|2017.96438356164,SBV171,3,8,SBV171_plate02|2017.96438356164,C,H,,,,,,,,SBV171
SBV172_plate02|2018.01095890411,SBV172,3,8,SBV172_plate02|2018.01095890411,C,H,,,,,,,,SBV172
SBV173_plate02|2018.04657534247,SBV173,3,8,SBV173_plate02|2018.04657534247,C,H,,,,,,,,SBV173
SBV174_plate02|2018.06849315068,SBV174,3,8,SBV174_plate02|2018.06849315068,C,H,,,,,,,,SBV174
SBV175_plate02|2018.10410958904,SBV175,3,8,SBV175_plate02|2018.10410958904,C,H,,,,,,,,SBV175
SBV176_plate02|2018.42739726027,SBV176,2,4,SBV176_plate02|2018.42739726027,B,D,,,,,,,,SBV176
SBV177_plate03|2018.14520547945,SBV177,3,8,SBV177_plate03|2018.14520547945,C,H,,,,,,,,SBV177
SBV178_plate03|2018.17534246575,SBV178,2,4,SBV178_plate03|2018.17534246575,B,D,,,,,,,,SBV178
SBV179_plate03|2018.19452054795,SBV179,3,8,SBV179_plate03|2018.19452054795,C,H,,,,,,,,SBV179
SBV180_plate03|2018.27123287671,SBV180,3,8,SBV180_plate03|2018.27123287671,C,H,,,,,,,,SBV180
SBV181_plate03|2018.27671232877,SBV181,3,8,SBV181_plate03|2018.27671232877,C,H,,,,,,,,SBV181
SBV183_plate03|2018.33150684932,SBV183,2,6,SBV183_plate03|2018.33150684932,B,F,,,,,,,,SBV183
SBV184_plate03|2018.35890410959,SBV184,3,8,SBV184_plate03|2018.35890410959,C,H,,,,,,,,SBV184
SBV185_plate03|2018.40273972603,SBV185,3,8,SBV185_plate03|2018.40273972603,C,H,,,,,,,,SBV185
SBV186_plate03|2018.42465753425,SBV186,3,8,SBV186_plate03|2018.42465753425,C,H,,,,,,,,SBV186
SBV187_plate03|2018.46575342466,SBV187,3,8,SBV187_plate03|2018.46575342466,C,H,,,,,,,,SBV187
SBV188_plate03|2018.5095890411,SBV188,3,8,SBV188_plate03|2018.5095890411,C,H,,,,,,,,SBV188
SBV189_plate03|2018.56712328767,SBV189,3,8,SBV189_plate03|2018.56712328767,C,H,,,,,,,,SBV189
